symbol,timestamp,open,high,low,close,volume
ETH,2024-12-07 00:00:00,3999.97,4019.91,3970.62,4004.5,226.085
ETH,2024-12-08 00:00:00,3997.79,4012.63,3928.62,4012.63,291.4304
ETH,2024-12-09 00:00:00,4004.44,4004.44,3474.2,3717.74,943.7803
ETH,2024-12-10 00:00:00,3710.79,3776.64,3524.55,3626.38,528.7082
ETH,2024-12-11 00:00:00,3627.55,3845.43,3565.62,3831.5,264.0431
ETH,2024-12-12 00:00:00,3829.77,3983.81,3800.11,3883,540.2288
ETH,2024-12-13 00:00:00,3883,3967.72,3855.2,3909.02,350.8674
ETH,2024-12-14 00:00:00,3909.02,3944.99,3827.06,3871.96,153.8295
ETH,2024-12-15 00:00:00,3870.39,3966.79,3834.78,3958.58,248.1573
ETH,2024-12-16 00:00:00,3958.58,4100,3886.83,3983.48,520.4678
ETH,2024-12-17 00:00:00,3988.11,4038.02,3851.73,3892.51,323.4632
ETH,2024-12-18 00:00:00,3892.51,3903.34,3622.67,3630.23,1369.1085
ETH,2024-12-19 00:00:00,3630.15,3717.23,3340.18,3425.27,674.6335
ETH,2024-12-20 00:00:00,3418.1,3495.54,3105.68,3467.91,427.1322
ETH,2024-12-21 00:00:00,3473.4,3554.03,3295.84,3339.67,168.0332
ETH,2024-12-22 00:00:00,3340.33,3402.67,3224.14,3276.8,143.494
ETH,2024-12-23 00:00:00,3288.39,3469.58,3220,3425.88,302.5085
ETH,2024-12-24 00:00:00,3420.78,3538.18,3370.55,3495.72,143.0127
ETH,2024-12-25 00:00:00,3491.35,3545.14,3441.52,3497.4,143.285
ETH,2024-12-26 00:00:00,3497.4,3513.69,3307.45,3333.29,261.0334
ETH,2024-12-27 00:00:00,3335.56,3442.89,3308.24,3331.73,169.7208
ETH,2024-12-28 00:00:00,3336.41,3425.52,3322.98,3405.61,134.4461
ETH,2024-12-29 00:00:00,3400.31,3411.75,3327.29,3355.38,95.8079
ETH,2024-12-30 00:00:00,3355.61,3436.34,3306.52,3361.91,275.6225
ETH,2024-12-31 00:00:00,3357.57,3446.43,3315.77,3334.87,137.0393
ETH,2025-01-01 00:00:00,3335.11,3374.46,3317.62,3361.33,158.8813
ETH,2025-01-02 00:00:00,3361.85,3508.25,3355.74,3454.18,194.7153
ETH,2025-01-03 00:00:00,3456.32,3628.98,3423.91,3610.47,185.1404
ETH,2025-01-04 00:00:00,3610.31,3671.48,3574.93,3656.5,124.2245
ETH,2025-01-05 00:00:00,3657.71,3675,3595.76,3636.34,89.8339
ETH,2025-01-06 00:00:00,3638.58,3741.9,3612.44,3684.95,254.6927
ETH,2025-01-07 00:00:00,3686.73,3697.99,3358.79,3379.47,407.604
ETH,2025-01-08 00:00:00,3381,3413.63,3213.18,3326.49,196.6637
ETH,2025-01-09 00:00:00,3328.53,3356.72,3174.36,3223.02,157.8548
ETH,2025-01-10 00:00:00,3222.95,3320.43,3197.96,3269.76,114.9576
ETH,2025-01-11 00:00:00,3269.67,3316.83,3221.7,3285.23,42.8127
ETH,2025-01-12 00:00:00,3283.03,3298.5,3225.62,3267.8,54.0956
ETH,2025-01-13 00:00:00,3268.92,3336.93,2931,3131.44,353.3559
ETH,2025-01-14 00:00:00,3137.84,3255.79,3128.86,3223.11,238.7589
ETH,2025-01-15 00:00:00,3225.32,3471.25,3199.1,3451.98,359.3374
ETH,2025-01-16 00:00:00,3453.32,3456.4,3266.95,3311.09,323.18
ETH,2025-01-17 00:00:00,3310.1,3525.37,3308.4,3474.23,267.0296
ETH,2025-01-18 00:00:00,3474.23,3494.63,3240,3307.76,336.1065
ETH,2025-01-19 00:00:00,3307.68,3447.41,3133.41,3220.82,933.4455
ETH,2025-01-20 00:00:00,3219.64,3450,3150,3277.13,424.6078
ETH,2025-01-21 00:00:00,3284.53,3363.67,3208.35,3319.65,314.3921
ETH,2025-01-22 00:00:00,3320.41,3362.67,3226.94,3240,131.48
ETH,2025-01-23 00:00:00,3245.38,3344.24,3189,3332.01,237.6931
ETH,2025-01-24 00:00:00,3342.1,3425.34,3279.06,3312.5,178.3688
ETH,2025-01-25 00:00:00,3308.82,3349.81,3270.01,3317.07,124.8773
ETH,2025-01-26 00:00:00,3318,3360.36,3231.44,3231.44,158.8828
ETH,2025-01-27 00:00:00,3231.07,3251.84,3025.81,3179.71,327.5293
ETH,2025-01-28 00:00:00,3182.94,3222.26,3044.52,3074.68,167.9411
ETH,2025-01-29 00:00:00,3079.34,3177.74,3055.34,3111.33,97.0789
ETH,2025-01-30 00:00:00,3116.55,3280.81,3092.11,3245.21,120.4155
ETH,2025-01-31 00:00:00,3245.98,3427.58,3215.29,3297.7,297.0013
ETH,2025-02-01 00:00:00,3293.21,3330.47,3103.4,3116.75,128.3173
ETH,2025-02-02 00:00:00,3114.34,3160.77,2779.96,2863.7,570.8313
ETH,2025-02-03 00:00:00,2869.69,2917.71,2180.88,2884.16,869.9491
ETH,2025-02-04 00:00:00,2880.27,2885.79,2636.15,2738,354.2066
ETH,2025-02-05 00:00:00,2731.22,2825.83,2701.67,2783.57,175.4171
ETH,2025-02-06 00:00:00,2792.81,2855.92,2661.22,2687.18,429.8139
ETH,2025-02-07 00:00:00,2690.91,2796.34,2565.16,2623.58,109.8378
ETH,2025-02-08 00:00:00,2616.75,2664.86,2591.27,2636.54,85.7929
ETH,2025-02-09 00:00:00,2633.75,2696.63,2527.82,2629.27,242.4194
ETH,2025-02-10 00:00:00,2629.74,2691.21,2564.37,2659.29,220.7312
ETH,2025-02-11 00:00:00,2661.97,2724.79,2568.03,2602.61,409.6962
ETH,2025-02-12 00:00:00,2600,2792.81,2548.84,2738.15,282.8987
ETH,2025-02-13 00:00:00,2735.75,2752.94,2616,2673.41,166.9376
ETH,2025-02-14 00:00:00,2672.88,2792.39,2664.19,2726.58,135.7401
ETH,2025-02-15 00:00:00,2726.47,2739.08,2668.75,2693.14,73.8066
ETH,2025-02-16 00:00:00,2691.83,2723.54,2655.6,2659.08,61.294
ETH,2025-02-17 00:00:00,2662.04,2845.41,2643.02,2743.12,405.2204
ETH,2025-02-18 00:00:00,2742.87,2747.74,2609.12,2671.26,491.9839
ETH,2025-02-19 00:00:00,2670.41,2733.99,2656.43,2715.33,365.1715
ETH,2025-02-20 00:00:00,2716.85,2768.39,2709,2742.71,286.0758
ETH,2025-02-21 00:00:00,2741.13,2840,2618.75,2658.39,406.986
ETH,2025-02-22 00:00:00,2662.53,2795.63,2658.82,2762.49,197.6974
ETH,2025-02-23 00:00:00,2762.31,2852.5,2746.13,2820.79,327.4372
ETH,2025-02-24 00:00:00,2825.72,2834.15,2475.31,2510.86,426.1863
ETH,2025-02-25 00:00:00,2523.27,2531.54,2331.03,2495.13,431.344
ETH,2025-02-26 00:00:00,2497.7,2507.53,2258.55,2329.32,412.5454
ETH,2025-02-27 00:00:00,2336.95,2379.53,2237.73,2306.41,267.7821
ETH,2025-02-28 00:00:00,2308.83,2313.05,2080.58,2236.5,796.6223
ETH,2025-03-01 00:00:00,2235.63,2278.78,2143.93,2214.54,136.5116
ETH,2025-03-02 00:00:00,2216.95,2546.38,2178.25,2520.75,374.4113
ETH,2025-03-03 00:00:00,2520.66,2523.55,2100,2162.45,609.4293
ETH,2025-03-04 00:00:00,2158.12,2221.56,1950,2175.26,857.4197
ETH,2025-03-05 00:00:00,2174.1,2269.09,2158.17,2238.45,605.0361
ETH,2025-03-06 00:00:00,2239.49,2318.21,2180.04,2204.94,405.0581
ETH,2025-03-07 00:00:00,2204.8,2256.97,2108.12,2140.51,461.8377
ETH,2025-03-08 00:00:00,2139.05,2232.36,2107.9,2202.15,178.8155
ETH,2025-03-09 00:00:00,2199.22,2210.33,1992.41,2015.68,337.6958
ETH,2025-03-10 00:00:00,2017.32,2151.77,1812.82,1870,555.4563
ETH,2025-03-11 00:00:00,1870.25,1962.86,1758.52,1931.48,731.6741
ETH,2025-03-12 00:00:00,1921.5,1955,1831.04,1910.89,318.5843
ETH,2025-03-13 00:00:00,1907.26,1919.1,1823.69,1859.01,743.2171
ETH,2025-03-14 00:00:00,1859.34,1942.37,1859.28,1911.77,317.5638
ETH,2025-03-15 00:00:00,1911.75,1954,1904.28,1941.3,286.2539
ETH,2025-03-16 00:00:00,1937.45,1941.15,1800,1886.76,635.169
ETH,2025-03-17 00:00:00,1887.18,1950,1880.19,1928.27,258.4739
ETH,2025-03-18 00:00:00,1926.73,1933.17,1873.98,1928.8,554.909
ETH,2025-03-19 00:00:00,1929.47,2064.33,1860,2053.88,983.3529
ETH,2025-03-20 00:00:00,2054.63,2064.34,1860.1,1979.81,363.7804
